League,Pos,Team,P,W,D,L,F,A,GD,Pts,Table Type,Season,KEY
Premier League,1,Manchester City,38,32,4,2,106,27,79,100,League Table,2017/18,Premier League|Manchester City|2017/18
Premier League,2,Manchester United,38,25,6,7,68,28,40,81,League Table,2017/18,Premier League|Manchester United|2017/18
Premier League,3,Tottenham Hotspur,38,23,8,7,74,36,38,77,League Table,2017/18,Premier League|Tottenham Hotspur|2017/18
Premier League,4,Liverpool,38,21,12,5,84,38,46,75,League Table,2017/18,Premier League|Liverpool|2017/18
Premier League,5,Chelsea,38,21,7,10,62,38,24,70,League Table,2017/18,Premier League|Chelsea|2017/18
Premier League,6,Arsenal,38,19,6,13,74,51,23,63,League Table,2017/18,Premier League|Arsenal|2017/18
Premier League,7,Burnley,38,14,12,12,36,39,-3,54,League Table,2017/18,Premier League|Burnley|2017/18
Premier League,8,Everton,38,13,10,15,44,58,-14,49,League Table,2017/18,Premier League|Everton|2017/18
Premier League,9,Leicester City,38,12,11,15,56,60,-4,47,League Table,2017/18,Premier League|Leicester City|2017/18
Premier League,10,Newcastle United,38,12,8,18,39,47,-8,44,League Table,2017/18,Premier League|Newcastle United|2017/18
Premier League,11,Crystal Palace,38,11,11,16,45,55,-10,44,League Table,2017/18,Premier League|Crystal Palace|2017/18
Premier League,12,AFC Bournemouth,38,11,11,16,45,61,-16,44,League Table,2017/18,Premier League|AFC Bournemouth|2017/18
Premier League,13,West Ham United,38,10,12,16,48,68,-20,42,League Table,2017/18,Premier League|West Ham United|2017/18
Premier League,14,Watford,38,11,8,19,44,64,-20,41,League Table,2017/18,Premier League|Watford|2017/18
Premier League,15,Brighton & Hove Albion,38,9,13,16,34,54,-20,40,League Table,2017/18,Premier League|Brighton & Hove Albion|2017/18
Premier League,16,Huddersfield Town,38,9,10,19,28,58,-30,37,League Table,2017/18,Premier League|Huddersfield Town|2017/18
Premier League,17,Southampton,38,7,15,16,37,56,-19,36,League Table,2017/18,Premier League|Southampton|2017/18
Premier League,18,Swansea City,38,8,9,21,28,56,-28,33,League Table,2017/18,Premier League|Swansea City|2017/18
Premier League,19,Stoke City,38,7,12,19,35,68,-33,33,League Table,2017/18,Premier League|Stoke City|2017/18
Premier League,20,West Bromwich Albion,38,6,13,19,31,56,-25,31,League Table,2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,1,Manchester City,19,16,2,1,61,14,47,50,Home League Table,2017/18,Premier League|Manchester City|2017/18
Premier League,2,Arsenal,19,15,2,2,54,20,34,47,Home League Table,2017/18,Premier League|Arsenal|2017/18
Premier League,3,Manchester United,19,15,2,2,38,9,29,47,Home League Table,2017/18,Premier League|Manchester United|2017/18
Premier League,4,Liverpool,19,12,7,-,45,10,35,43,Home League Table,2017/18,Premier League|Liverpool|2017/18
Premier League,5,Tottenham Hotspur,19,13,4,2,40,16,24,43,Home League Table,2017/18,Premier League|Tottenham Hotspur|2017/18
Premier League,6,Chelsea,19,11,4,4,30,16,14,37,Home League Table,2017/18,Premier League|Chelsea|2017/18
Premier League,7,Everton,19,10,4,5,28,22,6,34,Home League Table,2017/18,Premier League|Everton|2017/18
Premier League,8,Brighton & Hove Albion,19,7,8,4,24,25,-1,29,Home League Table,2017/18,Premier League|Brighton & Hove Albion|2017/18
Premier League,9,Newcastle United,19,8,4,7,21,17,4,28,Home League Table,2017/18,Premier League|Newcastle United|2017/18
Premier League,10,Leicester City,19,7,6,6,25,22,3,27,Home League Table,2017/18,Premier League|Leicester City|2017/18
Premier League,11,West Ham United,19,7,6,6,24,26,-2,27,Home League Table,2017/18,Premier League|West Ham United|2017/18
Premier League,12,Watford,19,7,6,6,27,31,-4,27,Home League Table,2017/18,Premier League|Watford|2017/18
Premier League,13,Crystal Palace,19,7,5,7,29,27,2,26,Home League Table,2017/18,Premier League|Crystal Palace|2017/18
Premier League,14,Burnley,19,7,5,7,16,17,-1,26,Home League Table,2017/18,Premier League|Burnley|2017/18
Premier League,15,AFC Bournemouth,19,7,5,7,26,30,-4,26,Home League Table,2017/18,Premier League|AFC Bournemouth|2017/18
Premier League,16,Huddersfield Town,19,6,5,8,16,25,-9,23,Home League Table,2017/18,Premier League|Huddersfield Town|2017/18
Premier League,17,Swansea City,19,6,3,10,17,24,-7,21,Home League Table,2017/18,Premier League|Swansea City|2017/18
Premier League,18,Stoke City,19,5,5,9,20,30,-10,20,Home League Table,2017/18,Premier League|Stoke City|2017/18
Premier League,19,Southampton,19,4,7,8,20,26,-6,19,Home League Table,2017/18,Premier League|Southampton|2017/18
Premier League,20,West Bromwich Albion,19,3,9,7,21,29,-8,18,Home League Table,2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,1,Manchester City,19,16,2,1,45,13,32,50,Away League Table,2017/18,Premier League|Manchester City|2017/18
